Label,k_eps,Slope_ENG,Slope_EST,R2_ENG,R2_EST,Deviation_ENG(%),Deviation_EST(%)
0.4,13.788988905632364,-4.698485179561956,-8.830491681817056,0.9570436886565452,0.9929937289639138,181.90911077371734,120.7622920454264
1,10.960478360887263,-3.618228889628828,-5.3299936255054465,0.829003783700467,0.9977843883263376,117.09373337772968,33.24984063763616
5,6.010584907583338,-2.6921916108069297,-3.66425242079361,0.9113773027168806,0.9954466870650366,61.531496648415775,8.39368948015975
10,5.303457271397063,-3.0513645353544847,-3.762201524217264,0.9765407277435867,0.9908918529964111,83.08187212126907,5.944961894568401
15,3.1820743628382377,-2.6667500661574866,-4.025735899793741,0.9413171792815089,0.9887110292538022,60.00500396944919,0.6433974948435228
20,3.1820743628382377,-2.745728540465411,-4.064882919507652,0.9574891711279112,0.9801957309252528,64.74371242792463,1.6220729876913031
25,1.7678190904656876,-2.176364839008547,-4.484798240585073,0.8486809137132381,0.9875670205071215,30.581890340512818,12.119956014626831
30,3.889201999024513,-3.2312489908109905,-4.734331624767532,0.9552639805953037,0.9667124109507237,93.87493944865942,18.3582906191883
35,1.7678190904656876,-2.5499608476278115,-5.1323335921671065,0.9221484206848413,0.9779118670464543,52.99765085766869,28.308339804177663
40,1.7678190904656876,-2.4088597972278727,-5.512312646015296,0.9244122073330236,0.9810456017187603,44.531587833672354,37.8078161503824
45,1.7678190904656876,-2.478187150072,-5.7920129649869505,0.9225941480725431,0.9777688494156928,48.691229004319986,44.800324124673764
50,1.7678190904656876,-2.4556016046013247,-5.324897722390035,0.9096163739551664,0.9585257069541584,47.33609627607947,33.12244305975087
70,2.4749467266519627,-3.007476696860291,-5.344756537545653,0.9436325799584694,0.9074050641129283,80.44860181161744,33.618913438641314
90,1.0606914542794126,-2.577983083844653,-4.666436157691985,0.9149690637617554,0.7854135346556789,54.678985030679186,16.66090394229962
110,1.0606914542794126,-2.6888279986012606,-6.362054863825208,0.9454466726538068,0.6048302557825959,61.329679916075634,59.05137159563021
130,1.7678190904656876,-3.1482991257531836,-7.525335686527597,0.9344101797180288,0.9993188372168348,88.897947545191,88.13339216318991
150,1.0606914542794126,-3.176804745440916,,0.9229087897831901,0.0,90.60828472645494,
